ANDFIELD COORDS 
[3 26468]
2.562676165708941967e-01 3.328966020877185406e-01 2.952595108830342596e-01
2.630085881299421002e-01 3.495177231377240012e-01 3.060648917644492872e-01
2.519058114444514551e-01 3.335905256305616851e-01 3.226860128144547479e-01
2.511788439233776371e-01 3.349783727162480851e-01 3.209346819682314944e-01
2.534919223995215631e-01 3.398027935379196451e-01 3.692780221196390045e-01
2.644625231720897363e-01 3.470063807921963672e-01 3.642553374285837364e-01
2.713687146222908408e-01 3.365644836713181931e-01 4.367538256665796648e-01
2.706747910794476408e-01 3.346479329339417941e-01 4.419086862705574603e-01
2.609598614796432292e-01 3.369940553883162826e-01 4.608098418184762290e-01
2.549789014198997616e-01 3.456515776847406407e-01 4.709378211461634489e-01
2.512449318798388731e-01 3.441315546861317687e-01 4.772657429773285442e-01
2.508814481193020196e-01 3.649162169931962074e-01 5.414701926794370790e-01
2.695512958196063513e-01 3.583735093035320673e-01 5.650305491578742068e-01
2.732191774032058929e-01 3.451559180112812042e-01 5.870047946812412265e-01
2.785062139201062714e-01 3.517647136574066358e-01 5.745802588665254174e-01
2.820088756125527230e-01 3.518638455920984898e-01 5.926553149586785141e-01
2.826697551771653050e-01 3.454533138153568217e-01 5.973475598674276021e-01
2.620503127612539562e-01 3.581422014559176858e-01 6.118538663106728448e-01
2.734504852508203299e-01 3.517316696791760178e-01 6.058729062509293772e-01
2.553754291586672887e-01 3.597283124109877939e-01 6.151582641337356439e-01
2.518397234879901636e-01 3.445941703813605317e-01 6.370333777224107541e-01
2.640329514550915913e-01 3.451228740330505862e-01 6.801557693133791771e-01
2.685930204509181518e-01 3.573161020001520138e-01 7.051370168557332674e-01
2.601998499803388487e-01 3.621074788435929559e-01 2.582832992429624497e-01
2.579528594606561587e-01 3.471385567051188392e-01 2.808523363744808155e-01
2.675356131475380428e-01 3.612813793878272284e-01 3.033883295277685077e-01
2.667756016482336623e-01 3.685510545985652420e-01 3.393071338644602086e-01
2.596711463286487942e-01 3.527560330043254533e-01 3.654449206448863174e-01
2.737809250331265654e-01 3.635283699075099184e-01 4.135239089704487725e-01
2.603650698714919942e-01 3.659075363401150804e-01 4.492114054595260919e-01
2.564989244185086337e-01 3.750937622882294376e-01 5.196942110254537672e-01
7.474993969473973099e-01 3.745320146583087650e-01 5.357205404673079929e-01
7.459463299705577644e-01 3.800173150445928516e-01 5.344318253163135024e-01
2.574571997871967777e-01 3.740693989630800020e-01 5.599748204885882652e-01
2.615216091095639017e-01 3.732432995073142745e-01 5.618583272477339907e-01
2.792001374629494714e-01 3.578117616736113948e-01 5.929196667845235691e-01
2.525006030526026901e-01 3.601248401497553209e-01 6.165791551976524953e-01
7.483585403813935999e-01 3.672292954693401335e-01 6.427830299345398402e-01
2.521701632702963991e-01 3.626031385170523369e-01 6.668060021082058419e-01
2.511788439233776371e-01 3.711945728570154035e-01 6.807836048997610856e-01
7.497463874670799999e-01 3.688484504026409150e-01 6.910272381512554407e-01
2.547475935722853801e-01 3.751268062664600000e-01 6.907298423471798232e-01
2.673373492781543348e-01 3.608518076708291389e-01 7.069874796366484304e-01
7.437323834291058589e-01 3.667997237523419884e-01 7.346783333939139737e-01
2.525336470308333636e-01 3.621735668000541919e-01 2.508484041410713461e-01
2.513771077927613451e-01 3.678240870774914240e-01 2.542519338988259436e-01
2.528640868131395991e-01 3.745650586365393830e-01 2.527319109002170716e-01
2.516414596186064001e-01 3.652466567755024984e-01 2.549789014198997616e-01
2.910629256477446081e-01 3.667005918176501345e-01 2.905672659742851716e-01
2.693530319502225323e-01 3.652797007537331719e-01 3.042144289835341797e-01
2.617198729789477207e-01 3.763494334609932546e-01 3.377210229093901006e-01
2.561023966797411067e-01 3.800503590228234696e-01 4.431643574433213328e-01
2.536571422906746531e-01 3.861634949954895202e-01 4.519540556526681074e-01
2.582832992429624497e-01 3.810086343915116691e-01 5.116546111219422155e-01
7.498785633800024719e-01 3.853704395179544662e-01 5.342666054251603569e-01
2.506831842499182006e-01 3.876504740158677187e-01 5.351257488591566469e-01
2.715339345134439308e-01 3.836521526499618306e-01 5.358196724019997914e-01
7.460785058834803474e-01 3.797529632187478521e-01 5.563730268614499597e-01
2.550119453981303796e-01 3.984558548972828018e-01 5.914987757206064956e-01
2.781427301595693624e-01 3.715250126393216945e-01 5.975788677150419836e-01
2.593737505245731212e-01 3.922105430116942792e-01 6.012137053204109627e-01
2.671721293870011893e-01 3.805129747180522326e-01 6.039893994917836517e-01
2.628103242605583922e-01 3.904592121654710257e-01 6.059059502291599397e-01
7.486228922072386549e-01 3.954158089000651133e-01 6.085825124658408303e-01
2.708069669923701683e-01 3.825947453465817771e-01 6.478387586038258927e-01
2.515423276839144906e-01 3.797199192405171786e-01 6.915228978247148772e-01
2.561354406579716692e-01 3.934992581626887143e-01 7.150502103249214425e-01
2.565319683967391962e-01 3.876835179940983367e-01 7.316382873966962297e-01
2.544832417464403251e-01 3.831564929765024496e-01 2.514431957492226366e-01
2.654538425190085538e-01 3.985880308102053293e-01 7.490524639242367444e-01
2.737148370766653294e-01 4.005045815475816728e-01 2.564328364620473422e-01
2.636694676945546822e-01 3.813721181520485781e-01 3.110214884990433748e-01
2.498570847941525286e-01 3.858991431696444652e-01 3.587700370422995944e-01
2.588780908511137402e-01 3.926070707504618063e-01 3.630327102340504819e-01
7.435341195597220398e-01 3.896992006661665897e-01 3.895339807750134442e-01
2.622485766306377197e-01 3.995463061788934733e-01 5.088690037571003133e-01
2.571267600048905422e-01 3.934001262279968603e-01 5.412388848318226975e-01
7.428401960168788953e-01 4.043707270005650334e-01 5.602722162926638827e-01
2.639338195203997373e-01 3.951845010524507318e-01 5.831386492282578660e-01
2.697165157107594413e-01 4.012315490686554909e-01 5.874013224200087535e-01
2.582502552647318317e-01 4.000750098305835278e-01 6.067981376413869032e-01
2.626781483476358647e-01 4.023880883067274539e-01 6.073598852713075757e-01
7.469046053392459639e-01 4.061551018250189049e-01 6.335307160299642470e-01
2.690886801243775328e-01 4.081707844970871579e-01 6.379255651346377176e-01
2.597372342851100857e-01 4.088647080399303579e-01 7.075822712447996654e-01
2.619181368483314287e-01 4.098560273868491755e-01 7.054674566380395584e-01
2.633390279122483912e-01 3.999758778958916183e-01 7.161076176283014405e-01
2.570606720484292507e-01 4.054611782821757604e-01 7.321339470701556662e-01
2.748052883582760009e-01 4.035446275447993614e-01 2.587459149381912127e-01
